Ranking,Pontos,Nome,Clube,Rating,Categoria
1,3035,JESSICA YAMADA,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,A,F
2,2860,CAROLINE KUMAHARA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
3,2836,LIN GUI,SÃO BERNARDO / ASA / PALMEIRAS - SP,A,F
4,2829,BRUNA ALEXANDRE,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
5,2818,LETICIA NAKADA,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,A,F
6,2661,LÍGIA SILVA,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,A,F
6,2661,CARINA MURASHIGE,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,A,F
8,2616,ALEXIA NAKASHIMA,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,A,F
9,2542,BRUNA TAKAHASHI,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
10,2513,DANIELLE RAUEN,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,A,F
11,2503,MAIRA RANZEIRO,ASSOCIAÇÃO TIMBOENSE - SC,A,F
12,2498,GIULIA TAKAHASHI,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
13,2480,TAMYRES FUKASE,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
14,2393,MARINA MICHELIN,ASSOCIAÇÃO CHAPECOENSE - SC,A,F
14,2393,PRISCILA SALVADOR,ASSOCIAÇÃO RIO DO SUL - SC,A,F
16,2387,LAURA WATANABE,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
17,2359,KÁTIA KAWAI,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,A,F
18,2341,EDIANE BRESCIANI,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,A,F
19,2315,MARTINA KOHATSU,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,A,F
20,2305,LIA OHIRA,SÃO BERNARDO / ASA / PALMEIRAS - SP,A,F
21,2268,LUANA SOUZA,ASSOC. NOVA ERA DE T.M.-SP,A,F
22,2248,BARBARA MARROQUE,ASSOC. DOS MESATENISTAS DE CASCÁVEL-PR,A,F
23,2203,KARIN SAKO,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
24,2193,SARA SANTOS,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,A,F
25,2166,ESTHER NOVALO,ITAIM KEIKO / JJYAMADA - SP,A,F
26,2160,MAIZA MOTA,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,A,F
27,2096,JOYCE OLIVEIRA,AACD SÃO PAULO - SP,A,F
28,2084,LETICIA ARAUJO,SR MAMPITUBA/FME CRICIÚMA-SC,A,F
29,2039,AMANDA MARQUES,ASSOCIAÇÃO ESPORTIVA MANAUS/ITAIM KEIKO-AM,A,F
30,2024,LIVIA LIMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
31,2020,LHAYS STOLARSKI,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,A,F
32,2002,THAINA RIBEIRO,SÃO BERNARDO / ASA / PALMEIRAS - SP,A,F
33,1998,LIVIA GOMES,ASSOCIAÇÃO ANAPOLINA DE TÊNIS DE MESA - GO,A,F
34,1982,THAYNÁ ALMEIDA,SÃO BERNARDO / ASA / PALMEIRAS - SP,A,F
35,1970,BEATRIZ KANASHIRO,ITAIM KEIKO / JJYAMADA - SP,A,F
36,1962,THAIS FIGUEIREDO,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,A,F
37,1957,NATÁLIA MUNHOZ,CLUBE ITUANO DE ESPORTES-SP,A,F
38,1947,GIOVANNA GRILO,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,A,F
38,1947,FERNANDA KODAMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
40,1941,JESSICA PRATES,ASSOCIAÇÃO GOIANA DE TÊNIS DE MESA-AGTM-GO,A,F
41,1925,VITÓRIA UCIMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
42,1922,GABRIELLA KODAMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
43,1915,ISABELA CASSEMIRO,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,A,F
44,1912,DANIELA YANO,SOGIPA PORTO ALEGRE - RS,A,F
45,1909,LÍVIA MIZOBUCHI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,A,F
46,1896,LUCIANA MORIMOTO,NIPO CAMPO MOURÃO - PR,A,F
47,1885,LEONTINA SCOZ,ASSOCIAÇÃO DE TENIS DE MESA DE POUSO REDONDO-SC,A,F
48,1855,BEATRIZ KIMOTO,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,A,F
49,1850,LARISSA KUROTAKI,ASSOCIAÇAO DOS MESATENISTAS DE TAUBATÉ - SP,A,F
1,1845,SUELEN RAMOS,CLUBE PALESTRA ITÁLIA - RIBEIRÃO PRETO - SP,B,F
2,1841,KARINA HAYAMA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,B,F
3,1839,WANESSA SU WU,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,B,F
4,1835,NATALY FERNANDA,AITM/CVA/ITAPETININGA - SP,B,F
5,1819,JESSICA ISERI,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,B,F
6,1818,JULIANA LINDMAN,JUNDIAÍ CLUBE-SP,B,F
