Colocação,Pontos,Nome,Clube,URL detalhes,Rating,Categoria
1,3035,JESSICA YAMADA,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=198&Colocacao=1&Pontos=3035,A,F
2,2860,CAROLINE KUMAHARA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=17465&Colocacao=2&Pontos=2860,A,F
3,2836,LIN GUI,SÃO BERNARDO / ASA / PALMEIRAS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=16929&Colocacao=3&Pontos=2836,A,F
4,2829,BRUNA ALEXANDRE,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=18915&Colocacao=4&Pontos=2829,A,F
5,2818,LETICIA NAKADA,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=23643&Colocacao=5&Pontos=2818,A,F
6,2661,LÍGIA SILVA,CR SALDANHA DA GAMA/JOOLA/ADC ESTRELA/STA CECÍLIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=107&Colocacao=6&Pontos=2661,A,F
6,2661,CARINA MURASHIGE,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=294&Colocacao=6&Pontos=2661,A,F
8,2616,ALEXIA NAKASHIMA,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=20449&Colocacao=8&Pontos=2616,A,F
9,2542,BRUNA TAKAHASHI,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=23283&Colocacao=9&Pontos=2542,A,F
10,2513,DANIELLE RAUEN,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,https://app.cbtm.org.br/UI/Site/RatingResultadoDetalhe?Rating=RAF&Associado=24954&Colocacao=10&Pontos=2513,A,F
